system:index,ID,kommune,.geo
3001,14977.0,Bardu,"{""type"":""MultiPoint"",""coordinates"":[]}"
3028,427761.0,Vang,"{""type"":""MultiPoint"",""coordinates"":[]}"
3044,21542.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
3051,761780.0,Lom,"{""type"":""MultiPoint"",""coordinates"":[]}"
3059,886874.0,Surnadal,"{""type"":""MultiPoint"",""coordinates"":[]}"
3065,998675.0,Ullensvang,"{""type"":""MultiPoint"",""coordinates"":[]}"
3070,601794.0,Hjelmeland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3072,553931.0,Tana,"{""type"":""MultiPoint"",""coordinates"":[]}"
3080,936830.0,Salangen,"{""type"":""MultiPoint"",""coordinates"":[]}"
3094,185770.0,Voss,"{""type"":""MultiPoint"",""coordinates"":[]}"
3107,612910.0,Nordreisa,"{""type"":""MultiPoint"",""coordinates"":[]}"
3113,749061.0,Alstahaug,"{""type"":""MultiPoint"",""coordinates"":[]}"
3123,851204.0,Kåfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
3132,121415.0,Tana,"{""type"":""MultiPoint"",""coordinates"":[]}"
3152,167334.0,Balsfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
3158,261155.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
3165,722449.0,Eidfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
3173,852746.0,Bykle,"{""type"":""MultiPoint"",""coordinates"":[]}"
3175,171799.0,Masfjorden,"{""type"":""MultiPoint"",""coordinates"":[]}"
3209,427674.0,Lødingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
3238,51156.0,Vågå,"{""type"":""MultiPoint"",""coordinates"":[]}"
3239,362180.0,Suldal,"{""type"":""MultiPoint"",""coordinates"":[]}"
3247,775445.0,Surnadal,"{""type"":""MultiPoint"",""coordinates"":[]}"
3293,21645.0,Tinn,"{""type"":""MultiPoint"",""coordinates"":[]}"
3299,182912.0,Bremanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
3325,977749.0,Lebesby,"{""type"":""MultiPoint"",""coordinates"":[]}"
3326,363492.0,Målselv,"{""type"":""MultiPoint"",""coordinates"":[]}"
3421,262257.0,Nesseby,"{""type"":""MultiPoint"",""coordinates"":[]}"
3438,665524.0,Lebesby,"{""type"":""MultiPoint"",""coordinates"":[]}"
3459,892759.0,Vang,"{""type"":""MultiPoint"",""coordinates"":[]}"
3465,885150.0,Os,"{""type"":""MultiPoint"",""coordinates"":[]}"
3507,954641.0,Porsanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
3530,718754.0,Narvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
3532,726697.0,Nordkapp,"{""type"":""MultiPoint"",""coordinates"":[]}"
3574,805011.0,Bardu,"{""type"":""MultiPoint"",""coordinates"":[]}"
3600,816313.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
3606,353808.0,Bardu,"{""type"":""MultiPoint"",""coordinates"":[]}"
3613,930921.0,Bykle,"{""type"":""MultiPoint"",""coordinates"":[]}"
3643,633591.0,Lebesby,"{""type"":""MultiPoint"",""coordinates"":[]}"
3646,107119.0,Bodø,"{""type"":""MultiPoint"",""coordinates"":[]}"
3673,394904.0,Dovre,"{""type"":""MultiPoint"",""coordinates"":[]}"
3683,801154.0,Valle,"{""type"":""MultiPoint"",""coordinates"":[]}"
3697,934939.0,Tromsø,"{""type"":""MultiPoint"",""coordinates"":[]}"
3709,271426.0,Sør-Fron,"{""type"":""MultiPoint"",""coordinates"":[]}"
3711,526778.0,Meløy,"{""type"":""MultiPoint"",""coordinates"":[]}"
3712,38737.0,Vågå,"{""type"":""MultiPoint"",""coordinates"":[]}"
3739,149759.0,Saltdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
3740,300839.0,Aurland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3748,971964.0,Os,"{""type"":""MultiPoint"",""coordinates"":[]}"
3767,881416.0,Lurøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
3777,248466.0,Hasvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
3796,185561.0,Surnadal,"{""type"":""MultiPoint"",""coordinates"":[]}"
3797,661845.0,Lierne,"{""type"":""MultiPoint"",""coordinates"":[]}"
3802,811999.0,Bygland,"{""type"":""MultiPoint"",""coordinates"":[]}"
3829,744620.0,Ørsta,"{""type"":""MultiPoint"",""coordinates"":[]}"
3843,721639.0,Lierne,"{""type"":""MultiPoint"",""coordinates"":[]}"
3854,849064.0,Verdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
3868,153459.0,Vågå,"{""type"":""MultiPoint"",""coordinates"":[]}"
3886,586958.0,Tana,"{""type"":""MultiPoint"",""coordinates"":[]}"
3915,512979.0,Snåsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
3916,829658.0,Vang,"{""type"":""MultiPoint"",""coordinates"":[]}"
3934,553009.0,Nord-Fron,"{""type"":""MultiPoint"",""coordinates"":[]}"
3935,772771.0,Bindal,"{""type"":""MultiPoint"",""coordinates"":[]}"
3998,71440.0,Tjeldsund,"{""type"":""MultiPoint"",""coordinates"":[]}"
4006,903726.0,Lødingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
