"","reg","year","val","X"
"323","C",2020,0.413959779461718,"vamrmekrav"
"324","C",2020,0.440356843513022,"vamrmekrav"
"325","C",2020,0.445706324720997,"vamrmekrav"
"326","C",2020,0.360689886564956,"vamrmekrav"
"327","C",2020,0.445063712062267,"vamrmekrav"
"328","C",2020,0.420279032558319,"vamrmekrav"
"329","C",2020,0.476801526298806,"vamrmekrav"
"330","C",2020,0.491145664405797,"vamrmekrav"
"331","C",2020,0.484874138832479,"vamrmekrav"
"332","C",2020,0.364068149449653,"vamrmekrav"
"333","C",2020,0.33508039480283,"vamrmekrav"
"334","C",2020,0.438037552993077,"vamrmekrav"
"335","C",2020,0.404232412082564,"vamrmekrav"
"336","C",2020,0.409788659899431,"vamrmekrav"
"337","C",2020,0.395210930016098,"vamrmekrav"
"338","C",2020,0.413753432268907,"vamrmekrav"
"339","C",2020,0.430503410534448,"vamrmekrav"
"340","C",2020,0.404206484596648,"vamrmekrav"
"341","C",2020,0.395279287166881,"vamrmekrav"
"342","C",2020,0.38312674607084,"vamrmekrav"
"343","C",2020,0.396351708920761,"vamrmekrav"
"344","C",2020,0.425694546507106,"vamrmekrav"
"345","C",2020,0.444569360321455,"vamrmekrav"
"346","C",2020,0.41769940949568,"vamrmekrav"
"347","C",2020,0.308663973593425,"vamrmekrav"
"348","C",2020,0.427051893273903,"vamrmekrav"
"349","C",2020,0.384538883474664,"vamrmekrav"
"350","C",2020,0.428128272718646,"vamrmekrav"
"351","C",2020,0.502603315514021,"vamrmekrav"
"352","C",2020,0.484570465340047,"vamrmekrav"
"353","C",2020,0.460447267246221,"vamrmekrav"
"354","C",2020,0.409521556728859,"vamrmekrav"
"355","C",2020,0.42275974258537,"vamrmekrav"
"356","C",2020,0.395088816959892,"vamrmekrav"
"357","C",2020,0.407089359436927,"vamrmekrav"
"358","C",2020,0.458660804764819,"vamrmekrav"
"359","C",2020,0.47772987527077,"vamrmekrav"
"360","C",2020,0.388928563743446,"vamrmekrav"
"361","C",2020,0.494206651513717,"vamrmekrav"
"362","C",2020,0.439966522998275,"vamrmekrav"
"363","C",2020,0.412079782480274,"vamrmekrav"
"364","C",2020,0.403804338062236,"vamrmekrav"
"365","C",2020,0.457355246037886,"vamrmekrav"
"366","C",2020,0.406628194346443,"vamrmekrav"
"367","C",2020,0.41417360283808,"vamrmekrav"
"368","C",2020,0.406299556615808,"vamrmekrav"
"369","C",2020,0.384205935178048,"vamrmekrav"
"370","C",2020,0.396926676720923,"vamrmekrav"
"371","C",2020,0.357654467722671,"vamrmekrav"
"372","C",2020,0.382103283800856,"vamrmekrav"
"373","C",2020,0.421758924652198,"vamrmekrav"
"374","C",2020,0.472670501076276,"vamrmekrav"
"375","C",2020,0.439436656879056,"vamrmekrav"
"376","C",2020,0.393651836832009,"vamrmekrav"
"377","C",2020,0.411800688942225,"vamrmekrav"
"378","C",2020,0.409058963878082,"vamrmekrav"
"379","C",2020,0.407715206848296,"vamrmekrav"
"380","C",2020,0.441097245132636,"vamrmekrav"
"381","C",2020,0.389373539116667,"vamrmekrav"
"382","C",2020,0.382488464309507,"vamrmekrav"
"383","C",2020,0.463061321599263,"vamrmekrav"
"384","C",2020,0.444929805120856,"vamrmekrav"
"385","C",2020,0.418854594211448,"vamrmekrav"
"386","C",2020,0.433727775664849,"vamrmekrav"
"387","C",2020,0.462653453626673,"vamrmekrav"
"388","C",2020,0.443561021370655,"vamrmekrav"
"389","C",2020,0.417686122717426,"vamrmekrav"
"390","C",2020,0.464234372402516,"vamrmekrav"
"391","C",2020,0.437030868010893,"vamrmekrav"
"392","C",2020,0.336341248673619,"vamrmekrav"
"393","C",2020,0.433005273184063,"vamrmekrav"
"394","C",2020,0.417901029916751,"vamrmekrav"
"395","C",2020,0.485626265939979,"vamrmekrav"
"396","C",2020,0.347650942421262,"vamrmekrav"
"397","C",2020,0.445720720390611,"vamrmekrav"
"398","C",2020,0.487816451412267,"vamrmekrav"
"399","C",2020,0.429676978043853,"vamrmekrav"
"400","C",2020,0.451377565545241,"vamrmekrav"
"401","C",2020,0.417600528424444,"vamrmekrav"
"402","C",2020,0.424573952395093,"vamrmekrav"
"403","C",2020,0.407034922118465,"vamrmekrav"
"404","C",2020,0.357920106855369,"vamrmekrav"
"405","C",2020,0.360267168484334,"vamrmekrav"
"406","C",2020,0.466439739750943,"vamrmekrav"
"407","C",2020,0.396660693523449,"vamrmekrav"
"408","C",2020,0.421309613295088,"vamrmekrav"
"409","C",2020,0.442317728160729,"vamrmekrav"
"410","C",2020,0.39224963148452,"vamrmekrav"
"411","C",2020,0.457875909520745,"vamrmekrav"
"412","C",2020,0.435884053420162,"vamrmekrav"
"413","C",2020,0.452047249443905,"vamrmekrav"
"414","C",2020,0.471885268429134,"vamrmekrav"
"415","C",2020,0.413590896010409,"vamrmekrav"
"416","C",2020,0.420018494024317,"vamrmekrav"
"417","C",2020,0.391858751824956,"vamrmekrav"
"418","C",2020,0.377448159434688,"vamrmekrav"
"419","C",2020,0.433688256129771,"vamrmekrav"
"420","C",2020,0.416232647031809,"vamrmekrav"
"421","C",2020,0.489377076236396,"vamrmekrav"
"422","C",2020,0.399136569080811,"vamrmekrav"
"423","C",2020,0.449477975681875,"vamrmekrav"
"424","C",2020,0.463981315633984,"vamrmekrav"
"425","C",2020,0.48050825654635,"vamrmekrav"
"426","C",2020,0.401929239850976,"vamrmekrav"
"427","C",2020,0.416605050852011,"vamrmekrav"
"428","C",2020,0.460762454695037,"vamrmekrav"
"429","C",2020,0.459018740504419,"vamrmekrav"
"430","C",2020,0.422060157141308,"vamrmekrav"
"431","C",2020,0.462320672541808,"vamrmekrav"
"432","C",2020,0.411281683689732,"vamrmekrav"
"433","C",2020,0.414108730911866,"vamrmekrav"
"434","C",2020,0.37721533488597,"vamrmekrav"
"435","C",2020,0.417084746056963,"vamrmekrav"
"436","C",2020,0.425723488408375,"vamrmekrav"
"437","C",2020,0.386374262745722,"vamrmekrav"
"438","C",2020,0.428124589375034,"vamrmekrav"
"439","C",2020,0.421635759111125,"vamrmekrav"
"440","C",2020,0.347573049955787,"vamrmekrav"
"441","C",2020,0.459426835024474,"vamrmekrav"
"442","C",2020,0.45935764388726,"vamrmekrav"
"443","C",2020,0.439168103993306,"vamrmekrav"
"444","C",2020,0.371824462691135,"vamrmekrav"
"445","C",2020,0.446517910002659,"vamrmekrav"
"446","C",2020,0.440811300805064,"vamrmekrav"
"447","C",2020,0.416752905298465,"vamrmekrav"
"448","C",2020,0.464525931292965,"vamrmekrav"
"449","C",2020,0.469206204193287,"vamrmekrav"
"450","C",2020,0.43447776950337,"vamrmekrav"
"451","C",2020,0.476073737400526,"vamrmekrav"
"452","C",2020,0.396382656332937,"vamrmekrav"
"453","C",2020,0.430243362467767,"vamrmekrav"
"454","C",2020,0.378323629254985,"vamrmekrav"
"455","C",2020,0.410612665590866,"vamrmekrav"
"456","C",2020,0.433644924381895,"vamrmekrav"
"457","C",2020,0.414870242220291,"vamrmekrav"
"458","C",2020,0.389305093573895,"vamrmekrav"
"459","C",2020,0.449825464101813,"vamrmekrav"
"460","C",2020,0.481068922430573,"vamrmekrav"
"461","C",2020,0.366176968751154,"vamrmekrav"
"462","C",2020,0.454180750547041,"vamrmekrav"
"463","C",2020,0.35905413984266,"vamrmekrav"
"464","C",2020,0.472865850166921,"vamrmekrav"
"465","C",2020,0.46718012562425,"vamrmekrav"
"466","C",2020,0.443217609680457,"vamrmekrav"
"467","C",2020,0.466381131280528,"vamrmekrav"
"468","C",2020,0.442844467073276,"vamrmekrav"
"469","C",2020,0.452553979179776,"vamrmekrav"
"470","C",2020,0.525949297179515,"vamrmekrav"
"471","C",2020,0.357218040052783,"vamrmekrav"
"472","C",2020,0.432990412871443,"vamrmekrav"
"473","C",2020,0.401704993340893,"vamrmekrav"
"474","C",2020,0.412085074219234,"vamrmekrav"
