"","reg","val","year"
"630","C",0.988235294117647,2020
"631","C",1,2020
"632","C",1,2020
"633","C",0.988235294117647,2020
"634","C",1,2020
"635","C",1,2020
"636","C",1,2020
"637","C",1,2020
"638","C",1,2020
"639","C",1,2020
"640","C",1,2020
"641","C",0.988235294117647,2020
"642","C",1,2020
"643","C",1,2020
"644","C",1,2020
"645","C",0.988235294117647,2020
"646","C",1,2020
"647","C",1,2020
"648","C",1,2020
"649","C",1,2020
"650","C",1,2020
"651","C",1,2020
"652","C",1,2020
"653","C",1,2020
"654","C",1,2020
"655","C",1,2020
"656","C",1,2020
"657","C",1,2020
"658","C",0.988235294117647,2020
"659","C",1,2020
"660","C",0.988235294117647,2020
"661","C",1,2020
"662","C",1,2020
"663","C",0.988235294117647,2020
"664","C",1,2020
"665","C",0.988235294117647,2020
"666","C",1,2020
"667","C",1,2020
"668","C",1,2020
"669","C",1,2020
"670","C",1,2020
"671","C",1,2020
"672","C",1,2020
"673","C",1,2020
"674","C",0.988235294117647,2020
"675","C",1,2020
"676","C",1,2020
"677","C",1,2020
"678","C",1,2020
"679","C",1,2020
"680","C",1,2020
"681","C",1,2020
"682","C",1,2020
"683","C",1,2020
"684","C",1,2020
"685","C",1,2020
"686","C",1,2020
"687","C",1,2020
"688","C",1,2020
"689","C",1,2020
"690","C",1,2020
"691","C",0.988235294117647,2020
"692","C",1,2020
"693","C",1,2020
"694","C",1,2020
"695","C",1,2020
"696","C",1,2020
"697","C",1,2020
"698","C",1,2020
"699","C",0.988235294117647,2020
"700","C",1,2020
"701","C",1,2020
"702","C",1,2020
"703","C",1,2020
"704","C",0.988235294117647,2020
"705","C",1,2020
"706","C",1,2020
"707","C",1,2020
"708","C",1,2020
"709","C",1,2020
"710","C",1,2020
"711","C",1,2020
"712","C",1,2020
"713","C",1,2020
"714","C",1,2020
"715","C",1,2020
"716","C",1,2020
"717","C",1,2020
"718","C",1,2020
"719","C",1,2020
"720","C",1,2020
"721","C",1,2020
"722","C",1,2020
"723","C",1,2020
"724","C",1,2020
"725","C",1,2020
"726","C",1,2020
"727","C",1,2020
"728","C",1,2020
"729","C",1,2020
"730","C",0.988235294117647,2020
"731","C",1,2020
"732","C",1,2020
"733","C",1,2020
"734","C",1,2020
"735","C",1,2020
"736","C",1,2020
"737","C",1,2020
"738","C",1,2020
"739","C",1,2020
"740","C",1,2020
"741","C",1,2020
"742","C",1,2020
"743","C",1,2020
"744","C",1,2020
"745","C",1,2020
"746","C",1,2020
"747","C",1,2020
"748","C",1,2020
"749","C",1,2020
"750","C",1,2020
"751","C",1,2020
"752","C",1,2020
"753","C",1,2020
"754","C",0.988235294117647,2020
"755","C",1,2020
"756","C",1,2020
"757","C",1,2020
"758","C",1,2020
"759","C",1,2020
"760","C",1,2020
"761","C",1,2020
"762","C",1,2020
"763","C",1,2020
"764","C",1,2020
"765","C",1,2020
"766","C",1,2020
"767","C",1,2020
"768","C",1,2020
"769","C",1,2020
"770","C",1,2020
"771","C",1,2020
"772","C",1,2020
"773","C",1,2020
"774","C",0.988235294117647,2020
"775","C",1,2020
"776","C",1,2020
"777","C",1,2020
"778","C",1,2020
"779","C",1,2020
"780","C",1,2020
"781","C",1,2020
"782","C",1,2020
"783","C",1,2020
"784","C",1,2020
"785","C",1,2020
"786","C",1,2020
"787","C",0.988235294117647,2020
"788","C",1,2020
"789","C",1,2020
"790","C",1,2020
"791","C",1,2020
"792","C",1,2020
"793","C",1,2020
"794","C",1,2020
"795","C",1,2020
"796","C",1,2020
"797","C",1,2020
"798","C",1,2020
"799","C",1,2020
"800","C",1,2020
"801","C",1,2020
"802","C",1,2020
"803","C",1,2020
"804","C",1,2020
"805","C",1,2020
"806","C",1,2020
"807","C",1,2020
"808","C",1,2020
"809","C",1,2020
"810","C",1,2020
"811","C",1,2020
"812","C",1,2020
"813","C",1,2020
"814","C",1,2020
"815","C",1,2020
"816","C",1,2020
"817","C",0.988235294117647,2020
"818","C",1,2020
"819","C",1,2020
"820","C",1,2020
"821","C",1,2020
"822","C",1,2020
"823","C",1,2020
"824","C",1,2020
"825","C",1,2020
"826","C",1,2020
"827","C",1,2020
"828","C",1,2020
"829","C",1,2020
"830","C",1,2020
"831","C",1,2020
"832","C",1,2020
"833","C",1,2020
"834","C",1,2020
"835","C",1,2020
"836","C",1,2020
"837","C",1,2020
"838","C",1,2020
"839","C",1,2020
"840","C",1,2020
"841","C",0.988235294117647,2020
"842","C",0.988235294117647,2020
"843","C",1,2020
"844","C",1,2020
"845","C",1,2020
"846","C",0.988235294117647,2020
"847","C",0.988235294117647,2020
"848","C",1,2020
"849","C",1,2020
"850","C",1,2020
"851","C",1,2020
"852","C",1,2020
"853","C",1,2020
"854","C",1,2020
"855","C",1,2020
"856","C",1,2020
"857","C",1,2020
"858","C",1,2020
"859","C",1,2020
"860","C",1,2020
"861","C",1,2020
"862","C",1,2020
"863","C",1,2020
"864","C",0.988235294117647,2020
"865","C",1,2020
"866","C",1,2020
"867","C",1,2020
"868","C",1,2020
"869","C",0.988235294117647,2020
"870","C",0.988235294117647,2020
"871","C",1,2020
"872","C",1,2020
"873","C",1,2020
"874","C",1,2020
"875","C",1,2020
"876","C",1,2020
"877","C",1,2020
"878","C",1,2020
"879","C",1,2020
"880","C",1,2020
"881","C",1,2020
"882","C",0.988235294117647,2020
"883","C",1,2020
"884","C",1,2020
"885","C",1,2020
"886","C",1,2020
"887","C",1,2020
"888","C",1,2020
"889","C",1,2020
"890","C",1,2020
"891","C",1,2020
"892","C",1,2020
"893","C",1,2020
"894","C",1,2020
"895","C",1,2020
"896","C",1,2020
"897","C",1,2020
"898","C",1,2020
"899","C",1,2020
"900","C",1,2020
