ord;species;L;F;R;N;S;HM;T;K;TRU
P;Berberis vulgaris;7;4;8;3;0;NA;NA;NA;NA
P;Berula erecta;7;10;7;7;0;NA;NA;NA;NA
P;Beta vulgaris;9;5;7;8;3;NA;NA;NA;NA
P;Betula nana;7;8;1;1;0;NA;NA;NA;NA
P;Betula pendula;7;5;4;4;0;NA;NA;NA;NA
P;Betula pubescens;7;7;4;4;0;NA;NA;NA;NA
P;Bidens cernua;8;9;7;7;0;NA;NA;NA;NA
P;Bidens tripartita;8;8;7;7;0;NA;NA;NA;NA
P;Blackstonia perfoliata;8;5;8;2;0;NA;NA;NA;NA
P;Blechnum spicant;5;6;3;3;0;NA;NA;NA;NA
P;Blysmus compressus;8;8;8;3;0;NA;NA;NA;NA
P;Blysmopsis rufa;8;8;7;4;5;NA;NA;NA;NA
P;Bolboschoenus maritimus;8;10;8;7;4;NA;NA;NA;NA
P;Botrychium lunaria;8;4;6;2;0;NA;NA;NA;NA
P;Brachypodium pinnatum;7;3;8;3;0;NA;NA;NA;NA
P;Brachypodium sylvaticum;6;5;6;5;0;NA;NA;NA;NA
P;Brassica napus;7;4;7;7;0;NA;NA;NA;NA
P;Brassica nigra;8;5;7;6;0;NA;NA;NA;NA
P;Brassica oleracea;8;4;7;8;3;NA;NA;NA;NA
P;Brassica rapa;7;5;7;6;0;NA;NA;NA;NA
P;Briza maxima;7;3;4;2;0;NA;NA;NA;NA
P;Briza media;8;5;7;3;0;NA;NA;NA;NA
P;Briza minor;7;4;5;5;0;NA;NA;NA;NA
P;Bromopsis benekenii;5;5;7;5;0;NA;NA;NA;NA
P;Bromopsis erecta;7;4;8;3;0;NA;NA;NA;NA
P;Bromopsis inermis;8;4;8;5;0;NA;NA;NA;NA
P;Bromopsis ramosa;4;6;7;7;0;NA;NA;NA;NA
P;Bromus commutatus;7;4;8;6;0;NA;NA;NA;NA
P;Bromus hordeaceus;8;4;7;4;0;NA;NA;NA;NA
P;Bromus racemosus;6;6;7;8;0;NA;NA;NA;NA
P;Bromus rigidus;8;4;8;7;0;NA;NA;NA;NA
P;Bryonia dioica;7;5;7;7;0;NA;NA;NA;NA
P;Buddleja davidii;7;5;7;5;0;NA;NA;NA;NA
P;Buglossoides arvensis;8;4;7;5;0;NA;NA;NA;NA
P;Bunium bulbocastanum;7;4;9;4;0;NA;NA;NA;NA
P;Bupleurum baldense;9;3;8;2;0;NA;NA;NA;NA
P;Bupleurum falcatum;6;3;9;3;0;NA;NA;NA;NA
P;Bupleurum tenuissimum;9;7;8;4;3;NA;NA;NA;NA
P;Butomus umbellatus;7;11;7;7;0;NA;NA;NA;NA
P;Buxus sempervirens;4;4;8;5;0;NA;NA;NA;NA
P;Cakile maritima;9;6;7;7;3;NA;NA;NA;NA
P;Calamagrostis canescens;7;9;7;5;0;NA;NA;NA;NA
P;Calamagrostis epigejos;7;7;7;6;0;NA;NA;NA;NA
