Scientific_name	Family	Svenskt_namn	Dyntaxa_ID_number	Establishment	Red-listed	Time_of_immigration	Index_of_invasive_concern	Biodiversity_relevance	Nectar_production	Heat_requirement	Cold_requirement	Temp_optimum	Continentality	Light	Moisture	Soil_reaction_pH	Nitrogen	Phosphorus	Salinity	Grazing_mowing	Soil_disturbance	Longevity	Pollinator_dependence	Phenology	Extreme_phenology	Seed_dormancy	Seed_bank	Seed_disperser	Nitrogen_fixation	Photosynthetic_pathway	Mycorrhiza	Carnivory	Parasitism
Doronicum plantagineum L.	Asteraceae	stor gemsrot	220118	Resident	Not Red-listed	6	12,5	1	4	10	2	4	3	3	4	6	7	3	1	2	1	4	2	6	3				0	C3	AM	0	0
Draba alpina L.	Brassicaceae	gulldraba	220491	Resident	Not Red-listed	0	0	1	3	2	17	17		7	5	8	2	2	1	6	5	4				2		Passive	0	C3	None	0	0
Draba cacuminum E. Ekman	Brassicaceae	blockdraba	561	Resident	VU	0	0	1	3	1	18	18		7	4	8	2	2	1	6	7	4						Passive	0	C3	None	0	0
Draba crassifolia Graham	Brassicaceae	dvärgdraba	562	Resident	NT	0	0	1	3	2	17	17		7	7	8	2	2	1	6	7	4						Passive	0	C3	None	0	0
Draba fladnizensis Wulfen	Brassicaceae	alpdraba	1876	Resident	NT	0	0	1	3	1	18	18		7	4	8	2	2	1	6	7	4	0c				1	Passive	0	C3	None	0	0
Draba glabella Pursh	Brassicaceae	fjälldraba	220494	Resident	Not Red-listed	0	0	1	3	2	17	17		7	5	8	2	2	1	6	7	4						Passive	0	C3	None	0	0
Draba incana L.	Brassicaceae	grådraba	220496	Resident	Not Red-listed	0	0	2	3	3	7	12	5	7	3	7	2	3	1	3	6	4				1	4	Passive	0	C3	None	0	0
Draba lactea Adams	Brassicaceae	lappdraba	220497	Resident	Not Red-listed	0	0	1	3	1	18	18		7	6	8	2	2	1	6	7	4						Passive	0	C3	None	0	0
Draba muralis L.	Brassicaceae	lunddraba	220498	Resident	Not Red-listed	0	0	1	2	11	2	4	7	5	3	8	4	4	1	5	7	1	0c	6	3	2		Passive	0	C3	None	0	0
Draba nemorosa L.	Brassicaceae	sanddraba	563	Resident	VU	1	4	1	2	6	9	11	7	6	3	7	4	4	1	4	7	1					3	Passive	0	C3	None	0	0
Draba nivalis Lilj.	Brassicaceae	isdraba	220500	Resident	Not Red-listed	0	0	1	3	1	16	17		7	3	8	2	2	1	6	7	4						Passive	0	C3	None	0	0
Draba norvegica Gunnerus	Brassicaceae	bergdraba	220501	Resident	Not Red-listed	0	0	1	3	2	16	17		7	5	7	2	3	1	6	6	0						Passive	0	C3	None	0	0
Draba oxycarpa Sommerf.	Brassicaceae	blekdraba	1877	Resident	NT	0	0	1	3	2	17	17		7	7	8	2	2	1	6	5	4						Passive	0	C3	None	0	0
Draba subcapitata Simmons	Brassicaceae	raggdraba	1878	Resident	EN	0	0	1	3	1	19	18		7	4		2	2	1	6	6	4						Passive	0	C3	None	0	0
Draba verna L.	Brassicaceae	nagelört	220508	Resident	Not Red-listed	0	0	3	2	10	3	5	5	5	5	6	6	4	1	5	8	1	0c	4	5	2	2	Passive	0	C3	None	0	0
Dracocephalum ruyschiana L.	Lamiaceae	drakblomma	564	Resident	EN	0	0	1	6	10	4	6	8	7	2	7	2	1	1	3	4	4	2a	8	1	2		Passive	0	C3	AM	0	0
Dracocephalum thymiflorum L.	Lamiaceae	rysk drakblomma	565	Resident	EN	2	10,3	1	6	9	9	10	9	7	2	7	3	1	1	3	8	1		7	2	1	3	Passive	0	C3	AM	0	0
Drosera anglica Huds.	Droseraceae	storsileshår	220120	Resident	Not Red-listed	0	0	1	2	4	8	12	5	7	8	4	1	2	2	4	5	4	0c	10	3	4	2	Passive	0	C3	None	1	0
Drosera intermedia Hayne	Droseraceae	småsileshår	220772	Resident	Not Red-listed	0	0	1	2	10	5	7	5	7	6	1	1	2	1	5	7	4	0c	10	3	4	2	Passive	0	C3	None	1	0
Drosera rotundifolia L.	Droseraceae	rundsileshår	220773	Resident	Not Red-listed	0	0	1	2	4	3	8	5	6	7	2	1	2	1	4	4	4	0c	10	3	4	2	Passive	0	C3	None	0	0
Dryas octopetala L.	Rosaceae	fjällsippa	219668	Resident	Not Red-listed	0	0	4	3	2	17	17		7	4	7	1	1	1	4	4	4	2			3	1	AirP	1	C3	AM/EM	0	0
Drymocallis rupestris (L.) Soják	Rosaceae	trollsmultron	1879	Resident	VU	0	0	1	3	10	2	4	6	5	2	7	3	2	1	2	5	4		6	3	2		Passive	0	C3	AM	0	0
Drymochloa sylvatica (Pollich) Holub	Poaceae	skogssvingel	643	Resident	NT	0	0	2	1	9	3	6	4	2	2	5	5	3	1	1	1	4	0b	10	3	4	1	Passive	0	C3	AM	0	0
Dryopteris carthusiana (Vill.) H. P. Fuchs	Dryopteridaceae	skogsbräken	222745	Resident	Not Red-listed	0	0	2	1	4	3	8	6	3	6	2	4	3	2	2	3	4	0b	10	3			AirD	0	C3	AM	0	0
Dryopteris cristata (L.) A. Gray	Dryopteridaceae	granbräken	569	Resident	Not Red-listed	0	0	1	1	9	5	8	7	5	7	3	6	3	1	2	3	4	0b	10	3			AirD	0	C3	AM	0	0
Dryopteris dilatata (Hoffm.) A. Gray	Dryopteridaceae	lundbräken	222747	Resident	Not Red-listed	0	0	2	1	10	3	5	4	2	5	2	7	3	2	2	4	4	0b	10	3			AirD	0	C3	AM	0	0
Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy	Dryopteridaceae	nordbräken	222748	Resident	Not Red-listed	0	0	2	1	3	7	12	5	2	6	3	7	3	2	2	4	4	0b	10	3			AirD	0	C3	AM	0	0
Dryopteris filix-mas (L.) Schott	Dryopteridaceae	träjon	222749	Resident	Not Red-listed	0	0	2	1	3	2	8	4	4	2	5	5	3	2	2	2	4	0b	10	3			AirD	0	C3	AM	0	0
Echinochloa crus-galli (L.) P. Beauv.	Poaceae	hönshirs	222425	Resident	Not Red-listed	1	4	3	1	12	1	2	3	7	4	7	8	5	2	3	9	1	0c	12	5	1	3	Passive	0	C4	AM	0	0
Echinops bannaticus Rochel ex Schrad.	Asteraceae	blå bolltistel	222429	Resident	Not Red-listed	5	9,5	1	7	11	3	5	6	6	3	7	7	5	2	3	5	4	2	11	4	2		Adh	0	C3	AM	0	0
Echinops exaltatus Schrad.	Asteraceae	grå bolltistel	220122	Resident	Not Red-listed	5	12	1	7	12	5	6	5	6	3	7	7	5	2	3	5	4	2	11	4	2		Adh	0	C3	AM	0	0
