"","OBJECTID","SSBID","ANOID","RSIZE","ROW","COL","XCOOR","YCOOR","ANONUM","PakkeNr","Overvåkingsår","CountyNr","MunicNr","CountyName","Region.x","RegionNr","Kommune_OLD","Kommune","Fylke","Region.y","refs_blabar"
"135",527,23165007166000,"ANO0324",500,847,1496,316750,7166250,324,2,2020,50,5007,"Trøndelag nor","C",2,1725,"NAMDALSEID","Nord-Trøndelag","Midt-Norge",12.5
"136",527,23165007166000,"ANO0324",500,847,1496,316750,7166250,324,2,2020,50,5007,"Trøndelag nor","C",2,1748,"FOSNES","Nord-Trøndelag","Midt-Norge",12.5
"137",657,20420006662000,"ANO0334",500,298,488,42250,6662250,334,2,2020,12,4618,"Hordaland nor","W",3,1227,"JONDAL","Hordaland","Vestlandet",12.5
"138",657,20420006662000,"ANO0334",500,298,488,42250,6662250,334,2,2020,12,4618,"Hordaland nor","W",3,1228,"ODDA","Hordaland","Vestlandet",12.5
"139",657,20420006662000,"ANO0334",500,298,488,42250,6662250,334,2,2020,12,4618,"Hordaland nor","W",3,1231,"ULLENSVANG","Hordaland","Vestlandet",12.5
"140",283,29870007851500,"ANO0339",500,2188,2867,987250,7851750,339,1,2020,20,5441,"Finnmark nor 1","N",1,2025,"DEATNU_TANA","Finnmark","Nord-Norge",2.5
"141",673,21435006981000,"ANO0348",500,501,1126,143750,6981250,348,2,2020,15,1506,"Møre og Romsdal  nor","C",2,1502,"MOLDE","Møre_og_Romsdal","Midt-Norge",12.5
"142",673,21435006981000,"ANO0348",500,501,1126,143750,6981250,348,2,2020,15,1506,"Møre og Romsdal  nor","C",2,1543,"NESSET","Møre_og_Romsdal","Midt-Norge",12.5
"143",673,21435006981000,"ANO0348",500,501,1126,143750,6981250,348,2,2020,15,1506,"Møre og Romsdal  nor","C",2,1545,"MIDSUND","Møre_og_Romsdal","Midt-Norge",12.5
"144",613,19705006646000,"ANO0363",500,155,456,-29250,6646250,363,2,2020,11,1160,"Rogaland nor","W",3,1160,"VINDAFJORD","Rogaland","Vestlandet",12.5
"145",856,22410006890000,"ANO0365",500,696,944,241250,6890250,365,3,2020,4,3429,"Hedmark nor","E",5,439,"FOLLDAL","Hedmark","Østlandet",10
"146",738,20440006477500,"ANO0370",500,302,119,44250,6477750,370,3,2020,10,4225,"Vest-Agder nor","S",4,1027,"AUDNEDAL","Vest-Agder","Sørlandet",12.5
"147",738,20440006477500,"ANO0370",500,302,119,44250,6477750,370,3,2020,10,4225,"Vest-Agder nor","S",4,1032,"LYNGDAL","Vest-Agder","Sørlandet",12.5
"148",50,26730007702500,"ANO0372",500,1560,2569,673250,7702750,372,1,2020,19,5422,"Troms nor 1","N",1,1933,"BALSFJORD","Troms","Nord-Norge",5
"149",243,25975007569000,"ANO0373",500,1409,2302,597750,7569250,373,1,2020,18,1806,"Nordland nor","N",1,1805,"NARVIK","Nordland","Nord-Norge",5
"150",243,25975007569000,"ANO0373",500,1409,2302,597750,7569250,373,1,2020,18,1806,"Nordland nor","N",1,1850,"TYSFJORD","Nordland","Nord-Norge",5
"151",243,25975007569000,"ANO0373",500,1409,2302,597750,7569250,373,1,2020,18,1806,"Nordland nor","N",1,1854,"BALLANGEN","Nordland","Nord-Norge",5
"152",589,19575006822000,"ANO0375",500,129,808,-42250,6822250,375,2,2020,14,4636,"Sogn og Fjordane  nor","W",3,1412,"SOLUND","Sogn_og_Fjordane","Vestlandet",12.5
"153",876,23175006897500,"ANO0377",500,849,959,317750,6897750,377,3,2020,4,3426,"Hedmark nor","E",5,436,"TOLGA","Hedmark","Østlandet",10
"154",479,20655006757000,"ANO0381",500,345,678,65750,6757250,381,2,2020,14,4641,"Sogn og Fjordane  nor","W",3,1421,"AURLAND","Sogn_og_Fjordane","Vestlandet",12.5
"155",987,20730006577000,"ANO0386",500,360,318,73250,6577250,386,3,2020,9,4221,"Aust-Agder nor","S",4,940,"VALLE","Aust-Agder","Sørlandet",12.5
"156",325,26685007765500,"ANO0396",500,1551,2695,668750,7765750,396,1,2020,19,5423,"Troms nor 1","N",1,1936,"KARLSØY","Troms","Nord-Norge",5
"157",651,19950006661500,"ANO0398",500,204,487,-4750,6661750,398,2,2020,12,4617,"Hordaland nor","W",3,1224,"KVINNHERAD","Hordaland","Vestlandet",12.5
"158",390,21535007023500,"ANO0409",500,521,1211,153750,7023750,409,2,2020,15,1576,"Møre og Romsdal  nor","C",2,1576,"AURE","Møre_og_Romsdal","Midt-Norge",12.5
"159",755,22335006924000,"ANO0416",500,681,1012,233750,6924250,416,3,2020,4,3429,"Hedmark nor","E",5,439,"FOLLDAL","Hedmark","Østlandet",10
"160",882,22380006902000,"ANO0417",500,690,968,238250,6902250,417,3,2020,4,3429,"Hedmark nor","E",5,439,"FOLLDAL","Hedmark","Østlandet",10
"161",720,22250006610000,"ANO0426",500,664,384,225250,6610250,426,3,2020,7,3802,"Vestfold nor","S",4,702,"HOLMESTRAND","Vestfold","Sørlandet",12.5
"162",720,22250006610000,"ANO0426",500,664,384,225250,6610250,426,3,2020,7,3802,"Vestfold nor","S",4,713,"SANDE_(V.)","Vestfold","Sørlandet",12.5
"163",720,22250006610000,"ANO0426",500,664,384,225250,6610250,426,3,2020,7,3802,"Vestfold nor","S",4,714,"HOF","Vestfold","Sørlandet",12.5
"164",264,25180007587500,"ANO0436",500,1250,2339,518250,7587750,436,1,2020,18,1851,"Nordland nor","N",1,1851,"LØDINGEN","Nordland","Nord-Norge",5
"165",232,26160007546000,"ANO0441",500,1446,2256,616250,7546250,441,1,2020,18,1806,"Nordland nor","N",1,1805,"NARVIK","Nordland","Nord-Norge",5
"166",232,26160007546000,"ANO0441",500,1446,2256,616250,7546250,441,1,2020,18,1806,"Nordland nor","N",1,1850,"TYSFJORD","Nordland","Nord-Norge",5
"167",232,26160007546000,"ANO0441",500,1446,2256,616250,7546250,441,1,2020,18,1806,"Nordland nor","N",1,1854,"BALLANGEN","Nordland","Nord-Norge",5
"168",529,24305007162000,"ANO0445",500,1075,1488,430750,7162250,445,2,2020,50,5042,"Trøndelag nor","C",2,1738,"LIERNE","Nord-Trøndelag","Midt-Norge",12.5
"169",347,28105007776000,"ANO0457",500,1835,2716,810750,7776250,457,1,2020,20,5403,"Finnmark nor 1","N",1,2012,"ALTA","Finnmark","Nord-Norge",2.5
"170",138,25150007635000,"ANO0460",500,1244,2434,515250,7635250,460,1,2020,18,1870,"Nordland nor","N",1,1870,"SORTLAND","Nordland","Nord-Norge",5
"171",277,26250007591500,"ANO0470",500,1464,2347,625250,7591750,470,1,2020,18,1806,"Nordland nor","N",1,1805,"NARVIK","Nordland","Nord-Norge",5
"172",277,26250007591500,"ANO0470",500,1464,2347,625250,7591750,470,1,2020,18,1806,"Nordland nor","N",1,1850,"TYSFJORD","Nordland","Nord-Norge",5
"173",277,26250007591500,"ANO0470",500,1464,2347,625250,7591750,470,1,2020,18,1806,"Nordland nor","N",1,1854,"BALLANGEN","Nordland","Nord-Norge",5
"174",358,28025007789500,"ANO0472",500,1819,2743,802750,7789750,472,1,2020,20,5403,"Finnmark nor 1","N",1,2012,"ALTA","Finnmark","Nord-Norge",2.5
